Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
6	Spectrogram 1	1	SMA01193_20200602_082808.wav	3	6	150	12000	norcar	Northern Cardinal	0.382352915067662	1
10	Spectrogram 1	1	SMA01193_20200602_082808.wav	9	12	150	12000	norcar	Northern Cardinal	0.198018533545471	1
19	Spectrogram 1	1	SMA01193_20200602_082808.wav	600	603	150	12000	norcar	Northern Cardinal	0.134472424640394	1
22	Spectrogram 1	1	SMA01193_20200602_082808.wav	612	615	150	12000	norcar	Northern Cardinal	0.56610346453277	1
23	Spectrogram 1	1	SMA01193_20200602_082808.wav	615	618	150	12000	norcar	Northern Cardinal	0.872354421449123	1
24	Spectrogram 1	1	SMA01193_20200602_082808.wav	618	621	150	12000	norcar	Northern Cardinal	0.705557165168571	1
26	Spectrogram 1	1	SMA01193_20200602_082808.wav	621	624	150	12000	norcar	Northern Cardinal	0.746880389880288	1
27	Spectrogram 1	1	SMA01193_20200602_082808.wav	624	627	150	12000	norcar	Northern Cardinal	0.901498294642804	1
28	Spectrogram 1	1	SMA01193_20200602_082808.wav	627	630	150	12000	norcar	Northern Cardinal	0.235341090441715	1
29	Spectrogram 1	1	SMA01193_20200602_082808.wav	603	606	150	12000	norcar	Northern Cardinal	0.906874712177508	1
31	Spectrogram 1	1	SMA01193_20200602_082808.wav	630	633	150	12000	norcar	Northern Cardinal	0.773965611588385	1
34	Spectrogram 1	1	SMA01193_20200602_082808.wav	633	636	150	12000	norcar	Northern Cardinal	0.73055143296964	1
37	Spectrogram 1	1	SMA01193_20200602_082808.wav	609	612	150	12000	norcar	Northern Cardinal	0.829003142238187	1
40	Spectrogram 1	1	SMA01193_20200602_082808.wav	672	675	150	12000	norcar	Northern Cardinal	0.931451143544379	1
186	Spectrogram 1	1	SMA01193_20200602_082808.wav	1140	1143	150	12000	norcar	Northern Cardinal	0.1445967477913	1
189	Spectrogram 1	1	SMA01193_20200602_082808.wav	1152	1155	150	12000	norcar	Northern Cardinal	0.426086075797537	1
214	Spectrogram 1	1	SMA01193_20200602_082808.wav	1149	1152	150	12000	norcar	Northern Cardinal	0.318419520444127	1
228	Spectrogram 1	1	SMA01193_20200602_082808.wav	1212	1215	150	12000	norcar	Northern Cardinal	0.329054379156068	1
232	Spectrogram 1	1	SMA01193_20200602_082808.wav	1218	1221	150	12000	norcar	Northern Cardinal	0.161722457947227	2
