Selection	View	Channel	Common Name	Begin Time (s)	End Time (s)	Low Freq (Hz)	High.Freq..Hz.	Species.Code	Common.Name	Confidence	Rank
1	Spectrogram 1	1	SMA01193_20200602_082808.wav	21	24	150	12000	rewbla	Red-winged Blackbird	0.21927025226634	1
2	Spectrogram 1	1	SMA01193_20200602_082808.wav	21	24	150	12000	amebit	American Bittern	0.138255408290387	2
3	Spectrogram 1	1	SMA01193_20200602_082808.wav	21	24	150	12000	swaspa	Swamp Sparrow	0.124655896690346	3
4	Spectrogram 1	1	SMA01193_20200602_082808.wav	24	27	150	12000	magwar	Magnolia Warbler	0.138242799664242	1
5	Spectrogram 1	1	SMA01193_20200602_082808.wav	24	27	150	12000	chswar	Chestnut-sided Warbler	0.107551103964551	2
6	Spectrogram 1	1	SMA01193_20200602_082808.wav	3	6	150	12000	norcar	Northern Cardinal	0.382352915067662	1
7	Spectrogram 1	1	SMA01193_20200602_082808.wav	36	39	150	12000	gowwar	Golden-winged Warbler	0.150696470811881	1
8	Spectrogram 1	1	SMA01193_20200602_082808.wav	36	39	150	12000	chswar	Chestnut-sided Warbler	0.109124643446614	2
9	Spectrogram 1	1	SMA01193_20200602_082808.wav	39	42	150	12000	misthr1	Mistle Thrush	0.150749405885248	1
10	Spectrogram 1	1	SMA01193_20200602_082808.wav	9	12	150	12000	norcar	Northern Cardinal	0.198018533545471	1
11	Spectrogram 1	1	SMA01193_20200602_082808.wav	84	87	150	12000	gowwar	Golden-winged Warbler	0.124079935326544	1
12	Spectrogram 1	1	SMA01193_20200602_082808.wav	90	93	150	12000	gowwar	Golden-winged Warbler	0.180759668698711	1
13	Spectrogram 1	1	SMA01193_20200602_082808.wav	96	99	150	12000	cerwar	Cerulean Warbler	0.107623544442006	1
14	Spectrogram 1	1	SMA01193_20200602_082808.wav	96	99	150	12000	amered	American Redstart	0.105841581377875	2
15	Spectrogram 1	1	SMA01193_20200602_082808.wav	99	102	150	12000	gowwar	Golden-winged Warbler	0.120855333846544	1
16	Spectrogram 1	1	SMA01193_20200602_082808.wav	105	108	150	12000	robgro	Rose-breasted Grosbeak	0.143337343681198	1
17	Spectrogram 1	1	SMA01193_20200602_082808.wav	105	108	150	12000	amerob	American Robin	0.126566293777888	2
18	Spectrogram 1	1	SMA01193_20200602_082808.wav	111	114	150	12000	gnwtea	Green-winged Teal	0.748140740487692	1
19	Spectrogram 1	1	SMA01193_20200602_082808.wav	600	603	150	12000	norcar	Northern Cardinal	0.134472424640394	1
20	Spectrogram 1	1	SMA01193_20200602_082808.wav	600	603	150	12000	wiltur	Wild Turkey	0.107863647455313	2
21	Spectrogram 1	1	SMA01193_20200602_082808.wav	600	603	150	12000	prowar	Prothonotary Warbler	0.103141396483407	3
