Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	SMA01193_20200602_082808.wav	21.0	24.0	150	15000	rewbla	Red-winged Blackbird	0.2192702522663397	1
2	Spectrogram 1	1	SMA01193_20200602_082808.wav	21.0	24.0	150	15000	amebit	American Bittern	0.138255408290387	2
3	Spectrogram 1	1	SMA01193_20200602_082808.wav	21.0	24.0	150	15000	swaspa	Swamp Sparrow	0.12465589669034623	3
4	Spectrogram 1	1	SMA01193_20200602_082808.wav	24.0	27.0	150	15000	magwar	Magnolia Warbler	0.13824279966424158	1
5	Spectrogram 1	1	SMA01193_20200602_082808.wav	24.0	27.0	150	15000	chswar	Chestnut-sided Warbler	0.10755110396455089	2
6	Spectrogram 1	1	SMA01193_20200602_082808.wav	3.0	6.0	150	15000	norcar	Northern Cardinal	0.3823529150676617	1
7	Spectrogram 1	1	SMA01193_20200602_082808.wav	36.0	39.0	150	15000	gowwar	Golden-winged Warbler	0.1506964708118808	1
8	Spectrogram 1	1	SMA01193_20200602_082808.wav	36.0	39.0	150	15000	chswar	Chestnut-sided Warbler	0.10912464344661403	2
9	Spectrogram 1	1	SMA01193_20200602_082808.wav	39.0	42.0	150	15000	misthr1	Mistle Thrush	0.1507494058852479	1
10	Spectrogram 1	1	SMA01193_20200602_082808.wav	9.0	12.0	150	15000	norcar	Northern Cardinal	0.1980185335454711	1
11	Spectrogram 1	1	SMA01193_20200602_082808.wav	84.0	87.0	150	15000	gowwar	Golden-winged Warbler	0.12407993532654427	1
12	Spectrogram 1	1	SMA01193_20200602_082808.wav	90.0	93.0	150	15000	gowwar	Golden-winged Warbler	0.18075966869871096	1
13	Spectrogram 1	1	SMA01193_20200602_082808.wav	96.0	99.0	150	15000	cerwar	Cerulean Warbler	0.10762354444200634	1
14	Spectrogram 1	1	SMA01193_20200602_082808.wav	96.0	99.0	150	15000	amered	American Redstart	0.1058415813778752	2
15	Spectrogram 1	1	SMA01193_20200602_082808.wav	99.0	102.0	150	15000	gowwar	Golden-winged Warbler	0.12085533384654439	1
16	Spectrogram 1	1	SMA01193_20200602_082808.wav	105.0	108.0	150	15000	robgro	Rose-breasted Grosbeak	0.14333734368119821	1
17	Spectrogram 1	1	SMA01193_20200602_082808.wav	105.0	108.0	150	15000	amerob	American Robin	0.12656629377788775	2
18	Spectrogram 1	1	SMA01193_20200602_082808.wav	111.0	114.0	150	15000	gnwtea	Green-winged Teal	0.7481407404876922	1
19	Spectrogram 1	1	SMA01193_20200602_082808.wav	600.0	603.0	150	15000	norcar	Northern Cardinal	0.13447242464039394	1
20	Spectrogram 1	1	SMA01193_20200602_082808.wav	600.0	603.0	150	15000	wiltur	Wild Turkey	0.10786364745531292	2
21	Spectrogram 1	1	SMA01193_20200602_082808.wav	600.0	603.0	150	15000	prowar	Prothonotary Warbler	0.10314139648340742	3
22	Spectrogram 1	1	SMA01193_20200602_082808.wav	612.0	615.0	150	15000	norcar	Northern Cardinal	0.5661034645327702	1
23	Spectrogram 1	1	SMA01193_20200602_082808.wav	615.0	618.0	150	15000	norcar	Northern Cardinal	0.8723544214491235	1
24	Spectrogram 1	1	SMA01193_20200602_082808.wav	618.0	621.0	150	15000	norcar	Northern Cardinal	0.7055571651685711	1
25	Spectrogram 1	1	SMA01193_20200602_082808.wav	618.0	621.0	150	15000	pyrrhu	Pyrrhuloxia	0.11611139942667603	2
26	Spectrogram 1	1	SMA01193_20200602_082808.wav	621.0	624.0	150	15000	norcar	Northern Cardinal	0.7468803898802885	1
27	Spectrogram 1	1	SMA01193_20200602_082808.wav	624.0	627.0	150	15000	norcar	Northern Cardinal	0.901498294642804	1
28	Spectrogram 1	1	SMA01193_20200602_082808.wav	627.0	630.0	150	15000	norcar	Northern Cardinal	0.23534109044171478	1
29	Spectrogram 1	1	SMA01193_20200602_082808.wav	603.0	606.0	150	15000	norcar	Northern Cardinal	0.9068747121775076	1
30	Spectrogram 1	1	SMA01193_20200602_082808.wav	603.0	606.0	150	15000	hawfin	Hawfinch	0.35163006232600413	2
31	Spectrogram 1	1	SMA01193_20200602_082808.wav	630.0	633.0	150	15000	norcar	Northern Cardinal	0.7739656115883851	1
32	Spectrogram 1	1	SMA01193_20200602_082808.wav	630.0	633.0	150	15000	hawfin	Hawfinch	0.24070274806125924	2
33	Spectrogram 1	1	SMA01193_20200602_082808.wav	630.0	633.0	150	15000	pyrrhu	Pyrrhuloxia	0.1815181520418149	3
34	Spectrogram 1	1	SMA01193_20200602_082808.wav	633.0	636.0	150	15000	norcar	Northern Cardinal	0.7305514329696396	1
35	Spectrogram 1	1	SMA01193_20200602_082808.wav	639.0	642.0	150	15000	bkcchi	Black-capped Chickadee	0.12454743614068953	1
36	Spectrogram 1	1	SMA01193_20200602_082808.wav	642.0	645.0	150	15000	bkcchi	Black-capped Chickadee	0.1275839259945959	1
37	Spectrogram 1	1	SMA01193_20200602_082808.wav	609.0	612.0	150	15000	norcar	Northern Cardinal	0.8290031422381874	1
38	Spectrogram 1	1	SMA01193_20200602_082808.wav	660.0	663.0	150	15000	wiltit1	Willow Tit	0.15089265723429787	1
39	Spectrogram 1	1	SMA01193_20200602_082808.wav	660.0	663.0	150	15000	bkcchi	Black-capped Chickadee	0.10810314378459492	2
40	Spectrogram 1	1	SMA01193_20200602_082808.wav	672.0	675.0	150	15000	norcar	Northern Cardinal	0.9314511435443794	1
41	Spectrogram 1	1	SMA01193_20200602_082808.wav	672.0	675.0	150	15000	pyrrhu	Pyrrhuloxia	0.2798563481188404	2
42	Spectrogram 1	1	SMA01193_20200602_082808.wav	675.0	678.0	150	15000	pasfly	Pacific-slope Flycatcher	0.17580862222915766	1
43	Spectrogram 1	1	SMA01193_20200602_082808.wav	684.0	687.0	150	15000	firecr1	Common Firecrest	0.2878811382907799	1
44	Spectrogram 1	1	SMA01193_20200602_082808.wav	684.0	687.0	150	15000	goldcr1	Goldcrest	0.16401068556764403	2
45	Spectrogram 1	1	SMA01193_20200602_082808.wav	684.0	687.0	150	15000	eurtre1	Eurasian Treecreeper	0.1353139974711901	3
46	Spectrogram 1	1	SMA01193_20200602_082808.wav	687.0	690.0	150	15000	balori	Baltimore Oriole	0.1824546506087914	1
47	Spectrogram 1	1	SMA01193_20200602_082808.wav	663.0	666.0	150	15000	pasfly	Pacific-slope Flycatcher	0.4859437376917247	1
48	Spectrogram 1	1	SMA01193_20200602_082808.wav	690.0	693.0	150	15000	bkcchi	Black-capped Chickadee	0.3514669621265192	1
49	Spectrogram 1	1	SMA01193_20200602_082808.wav	690.0	693.0	150	15000	tuftit	Tufted Titmouse	0.15438021357803877	2
50	Spectrogram 1	1	SMA01193_20200602_082808.wav	690.0	693.0	150	15000	carchi	Carolina Chickadee	0.10602092382004316	3
51	Spectrogram 1	1	SMA01193_20200602_082808.wav	693.0	696.0	150	15000	cedwax	Cedar Waxwing	0.16330802151656076	1
52	Spectrogram 1	1	SMA01193_20200602_082808.wav	696.0	699.0	150	15000	bkcchi	Black-capped Chickadee	0.3026718711684162	1
53	Spectrogram 1	1	SMA01193_20200602_082808.wav	696.0	699.0	150	15000	carchi	Carolina Chickadee	0.15508201588123532	2
54	Spectrogram 1	1	SMA01193_20200602_082808.wav	702.0	705.0	150	15000	pasfly	Pacific-slope Flycatcher	0.21138514818778872	1
55	Spectrogram 1	1	SMA01193_20200602_082808.wav	705.0	708.0	150	15000	buwwar	Blue-winged Warbler	0.1027468493139639	1
56	Spectrogram 1	1	SMA01193_20200602_082808.wav	711.0	714.0	150	15000	gowwar	Golden-winged Warbler	0.21358332733106675	1
57	Spectrogram 1	1	SMA01193_20200602_082808.wav	711.0	714.0	150	15000	buwwar	Blue-winged Warbler	0.11740491725946035	2
58	Spectrogram 1	1	SMA01193_20200602_082808.wav	714.0	717.0	150	15000	bkcchi	Black-capped Chickadee	0.3152909861488277	1
59	Spectrogram 1	1	SMA01193_20200602_082808.wav	714.0	717.0	150	15000	tuftit	Tufted Titmouse	0.16022726580199376	2
60	Spectrogram 1	1	SMA01193_20200602_082808.wav	714.0	717.0	150	15000	carchi	Carolina Chickadee	0.11033492455113199	3
61	Spectrogram 1	1	SMA01193_20200602_082808.wav	717.0	720.0	150	15000	rewbla	Red-winged Blackbird	0.1343961525929305	1
62	Spectrogram 1	1	SMA01193_20200602_082808.wav	717.0	720.0	150	15000	swaspa	Swamp Sparrow	0.10326533188568493	2
63	Spectrogram 1	1	SMA01193_20200602_082808.wav	666.0	669.0	150	15000	bkcchi	Black-capped Chickadee	0.43061375501911353	1
64	Spectrogram 1	1	SMA01193_20200602_082808.wav	666.0	669.0	150	15000	goldcr1	Goldcrest	0.11615197071171661	2
65	Spectrogram 1	1	SMA01193_20200602_082808.wav	669.0	672.0	150	15000	pasfly	Pacific-slope Flycatcher	0.2895207814319547	1
66	Spectrogram 1	1	SMA01193_20200602_082808.wav	669.0	672.0	150	15000	brncre	Brown Creeper	0.2504905280625064	2
67	Spectrogram 1	1	SMA01193_20200602_082808.wav	732.0	735.0	150	15000	bkcchi	Black-capped Chickadee	0.10723169371976793	1
68	Spectrogram 1	1	SMA01193_20200602_082808.wav	735.0	738.0	150	15000	herwar	Hermit Warbler	0.11615937579009458	1
69	Spectrogram 1	1	SMA01193_20200602_082808.wav	741.0	744.0	150	15000	bkcchi	Black-capped Chickadee	0.12720046824341982	1
70	Spectrogram 1	1	SMA01193_20200602_082808.wav	747.0	750.0	150	15000	bkcchi	Black-capped Chickadee	0.10919985185962203	1
71	Spectrogram 1	1	SMA01193_20200602_082808.wav	723.0	726.0	150	15000	bkcchi	Black-capped Chickadee	0.19974108653232847	1
72	Spectrogram 1	1	SMA01193_20200602_082808.wav	753.0	756.0	150	15000	herwar	Hermit Warbler	0.11826618766554244	1
73	Spectrogram 1	1	SMA01193_20200602_082808.wav	795.0	798.0	150	15000	hoowar	Hooded Warbler	0.12491282184781821	1
74	Spectrogram 1	1	SMA01193_20200602_082808.wav	795.0	798.0	150	15000	ovenbi1	Ovenbird	0.10190533152580857	2
75	Spectrogram 1	1	SMA01193_20200602_082808.wav	795.0	798.0	150	15000	cerwar	Cerulean Warbler	0.10141477340127064	3
76	Spectrogram 1	1	SMA01193_20200602_082808.wav	807.0	810.0	150	15000	herwar	Hermit Warbler	0.11087103057994606	1
77	Spectrogram 1	1	SMA01193_20200602_082808.wav	810.0	813.0	150	15000	ovenbi1	Ovenbird	0.2030135943064667	1
78	Spectrogram 1	1	SMA01193_20200602_082808.wav	810.0	813.0	150	15000	hoowar	Hooded Warbler	0.13083886614845536	2
79	Spectrogram 1	1	SMA01193_20200602_082808.wav	810.0	813.0	150	15000	cerwar	Cerulean Warbler	0.12038684256560482	3
