Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	sgl11_20170528_190011.wav	12.0	15.0	150	15000	refblu	Red-flanked Bluetail	0.6415897143385769	1
2	Spectrogram 1	1	sgl11_20170528_190011.wav	15.0	18.0	150	15000	veery	Veery	0.47772415769982257	1
3	Spectrogram 1	1	sgl11_20170528_190011.wav	18.0	21.0	150	15000	bawwar	Black-and-white Warbler	0.517157796728106	1
4	Spectrogram 1	1	sgl11_20170528_190011.wav	18.0	21.0	150	15000	amered	American Redstart	0.13002148429598678	2
5	Spectrogram 1	1	sgl11_20170528_190011.wav	18.0	21.0	150	15000	btnwar	Black-throated Green Warbler	0.11685722293705599	3
6	Spectrogram 1	1	sgl11_20170528_190011.wav	21.0	24.0	150	15000	bawwar	Black-and-white Warbler	0.8139574192418647	1
7	Spectrogram 1	1	sgl11_20170528_190011.wav	30.0	33.0	150	15000	cerwar	Cerulean Warbler	0.12604000073317356	1
8	Spectrogram 1	1	sgl11_20170528_190011.wav	30.0	33.0	150	15000	amered	American Redstart	0.11019228799157826	2
9	Spectrogram 1	1	sgl11_20170528_190011.wav	30.0	33.0	150	15000	kenwar	Kentucky Warbler	0.10315275456636387	3
10	Spectrogram 1	1	sgl11_20170528_190011.wav	39.0	42.0	150	15000	bawwar	Black-and-white Warbler	0.8518027893343065	1
11	Spectrogram 1	1	sgl11_20170528_190011.wav	39.0	42.0	150	15000	bkbwar	Blackburnian Warbler	0.14592172966316855	2
12	Spectrogram 1	1	sgl11_20170528_190011.wav	39.0	42.0	150	15000	amered	American Redstart	0.12462525825316796	3
13	Spectrogram 1	1	sgl11_20170528_190011.wav	42.0	45.0	150	15000	kenwar	Kentucky Warbler	0.1890687833329973	1
14	Spectrogram 1	1	sgl11_20170528_190011.wav	48.0	51.0	150	15000	scatan	Scarlet Tanager	0.4142787867072686	1
15	Spectrogram 1	1	sgl11_20170528_190011.wav	48.0	51.0	150	15000	kenwar	Kentucky Warbler	0.14864764721600662	2
16	Spectrogram 1	1	sgl11_20170528_190011.wav	48.0	51.0	150	15000	sumtan	Summer Tanager	0.10733499955089279	3
17	Spectrogram 1	1	sgl11_20170528_190011.wav	51.0	54.0	150	15000	trokin	Tropical Kingbird	0.6592892505716941	1
18	Spectrogram 1	1	sgl11_20170528_190011.wav	51.0	54.0	150	15000	easkin	Eastern Kingbird	0.4279392093906448	2
19	Spectrogram 1	1	sgl11_20170528_190011.wav	51.0	54.0	150	15000	litswi1	Little Swift	0.14033670879136745	3
20	Spectrogram 1	1	sgl11_20170528_190011.wav	57.0	60.0	150	15000	trokin	Tropical Kingbird	0.26283065056226207	1
21	Spectrogram 1	1	sgl11_20170528_190011.wav	57.0	60.0	150	15000	easkin	Eastern Kingbird	0.1275981910519189	2
22	Spectrogram 1	1	sgl11_20170528_190011.wav	57.0	60.0	150	15000	litswi1	Little Swift	0.12421980399086192	3
23	Spectrogram 1	1	sgl11_20170528_190011.wav	6.0	9.0	150	15000	bawwar	Black-and-white Warbler	0.5039343683118205	1
24	Spectrogram 1	1	sgl11_20170528_190011.wav	6.0	9.0	150	15000	btnwar	Black-throated Green Warbler	0.1020548077288028	2
25	Spectrogram 1	1	sgl11_20170528_190011.wav	9.0	12.0	150	15000	bawwar	Black-and-white Warbler	0.3114867151071376	1
26	Spectrogram 1	1	sgl11_20170528_190011.wav	9.0	12.0	150	15000	camwar	Cape May Warbler	0.14577719369360684	2
27	Spectrogram 1	1	sgl11_20170528_190011.wav	9.0	12.0	150	15000	amered	American Redstart	0.13124608024724252	3
28	Spectrogram 1	1	sgl11_20170528_190011.wav	60.0	63.0	150	15000	kenwar	Kentucky Warbler	0.8280080051087608	1
29	Spectrogram 1	1	sgl11_20170528_190011.wav	60.0	63.0	150	15000	scatan	Scarlet Tanager	0.530317904220055	2
30	Spectrogram 1	1	sgl11_20170528_190011.wav	72.0	75.0	150	15000	bawwar	Black-and-white Warbler	0.9495649664510536	1
31	Spectrogram 1	1	sgl11_20170528_190011.wav	75.0	78.0	150	15000	kenwar	Kentucky Warbler	0.25258296270538777	1
