Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
3	Spectrogram 1	1	sgl11_20170528_190011.wav	18	21	150	15000	bawwar	Black-and-white Warbler	0.517157796728106	1
6	Spectrogram 1	1	sgl11_20170528_190011.wav	21	24	150	15000	bawwar	Black-and-white Warbler	0.813957419241865	1
10	Spectrogram 1	1	sgl11_20170528_190011.wav	39	42	150	15000	bawwar	Black-and-white Warbler	0.851802789334307	1
23	Spectrogram 1	1	sgl11_20170528_190011.wav	6	9	150	15000	bawwar	Black-and-white Warbler	0.50393436831182	1
25	Spectrogram 1	1	sgl11_20170528_190011.wav	9	12	150	15000	bawwar	Black-and-white Warbler	0.311486715107138	1
30	Spectrogram 1	1	sgl11_20170528_190011.wav	72	75	150	15000	bawwar	Black-and-white Warbler	0.949564966451054	1
42	Spectrogram 1	1	sgl11_20170528_190011.wav	93	96	150	15000	bawwar	Black-and-white Warbler	0.180937460988884	2
47	Spectrogram 1	1	sgl11_20170528_190011.wav	105	108	150	15000	bawwar	Black-and-white Warbler	0.895131367128599	1
52	Spectrogram 1	1	sgl11_20170528_190011.wav	69	72	150	15000	bawwar	Black-and-white Warbler	0.280452689190848	1
70	Spectrogram 1	1	sgl11_20170528_190011.wav	630	633	150	15000	bawwar	Black-and-white Warbler	0.355990475219779	1
81	Spectrogram 1	1	sgl11_20170528_190011.wav	642	645	150	15000	bawwar	Black-and-white Warbler	0.366598144200661	2
83	Spectrogram 1	1	sgl11_20170528_190011.wav	645	648	150	15000	bawwar	Black-and-white Warbler	0.765738273120996	1
109	Spectrogram 1	1	sgl11_20170528_190011.wav	702	705	150	15000	bawwar	Black-and-white Warbler	0.353397071245842	1
112	Spectrogram 1	1	sgl11_20170528_190011.wav	705	708	150	15000	bawwar	Black-and-white Warbler	0.846862249293837	1
117	Spectrogram 1	1	sgl11_20170528_190011.wav	717	720	150	15000	bawwar	Black-and-white Warbler	0.680780343952824	1
126	Spectrogram 1	1	sgl11_20170528_190011.wav	741	744	150	15000	bawwar	Black-and-white Warbler	0.634170065804157	1
138	Spectrogram 1	1	sgl11_20170528_190011.wav	771	774	150	15000	bawwar	Black-and-white Warbler	0.733882985323619	1
177	Spectrogram 1	1	sgl11_20170528_190011.wav	888	891	150	15000	bawwar	Black-and-white Warbler	0.991269336703625	1
195	Spectrogram 1	1	sgl11_20170528_190011.wav	936	939	150	15000	bawwar	Black-and-white Warbler	0.987334795267923	1
204	Spectrogram 1	1	sgl11_20170528_190011.wav	957	960	150	15000	bawwar	Black-and-white Warbler	0.98320600426061	1
205	Spectrogram 1	1	sgl11_20170528_190011.wav	906	909	150	15000	bawwar	Black-and-white Warbler	0.587934050110989	1
209	Spectrogram 1	1	sgl11_20170528_190011.wav	972	975	150	15000	bawwar	Black-and-white Warbler	0.997707281428583	1
325	Spectrogram 1	1	sgl11_20170528_190011.wav	132	135	150	15000	bawwar	Black-and-white Warbler	0.760640633988915	1
336	Spectrogram 1	1	sgl11_20170528_190011.wav	153	156	150	15000	bawwar	Black-and-white Warbler	0.359009597028875	1
343	Spectrogram 1	1	sgl11_20170528_190011.wav	165	168	150	15000	bawwar	Black-and-white Warbler	0.885805431144758	1
581	Spectrogram 1	1	sgl11_20170528_190011.wav	1713	1716	150	15000	bawwar	Black-and-white Warbler	0.410251541872261	1
617	Spectrogram 1	1	sgl11_20170528_190011.wav	1791	1794	150	15000	bawwar	Black-and-white Warbler	0.579765931437274	1
619	Spectrogram 1	1	sgl11_20170528_190011.wav	1794	1797	150	15000	bawwar	Black-and-white Warbler	0.337693576423727	1
625	Spectrogram 1	1	sgl11_20170528_190011.wav	1746	1749	150	15000	bawwar	Black-and-white Warbler	0.171534305031857	3
