Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	btbwar	Black-throated Blue Warbler	0.16185791764380425	1
2	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	hoowar	Hooded Warbler	0.15938576229301066	2
3	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	bkbwar	Blackburnian Warbler	0.13359991289333095	3
4	Spectrogram 1	1	sgl6_20170531_093003.wav	15.0	18.0	150	15000	scatan	Scarlet Tanager	0.11516233765800811	1
5	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	btbwar	Black-throated Blue Warbler	0.16481568760920612	1
6	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	hoowar	Hooded Warbler	0.13295578184432932	2
7	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	bkbwar	Blackburnian Warbler	0.12062122619210536	3
8	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	yetvir	Yellow-throated Vireo	0.23534178501178413	1
9	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	btbwar	Black-throated Blue Warbler	0.16270798224021096	2
10	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	hoowar	Hooded Warbler	0.12991997130280505	3
11	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	btbwar	Black-throated Blue Warbler	0.2021446314230197	1
12	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	hoowar	Hooded Warbler	0.14750607903181875	2
13	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	bkbwar	Blackburnian Warbler	0.124765258997036	3
14	Spectrogram 1	1	sgl6_20170531_093003.wav	27.0	30.0	150	15000	yetvir	Yellow-throated Vireo	0.44165673214628826	1
15	Spectrogram 1	1	sgl6_20170531_093003.wav	27.0	30.0	150	15000	buhvir	Blue-headed Vireo	0.3694734061662585	2
