Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	cerwar	Cerulean Warbler	0.22579261914199894	1
2	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	btbwar	Black-throated Blue Warbler	0.16185791764380425	2
3	Spectrogram 1	1	sgl6_20170531_093003.wav	12.0	15.0	150	15000	hoowar	Hooded Warbler	0.15938576229301066	3
4	Spectrogram 1	1	sgl6_20170531_093003.wav	15.0	18.0	150	15000	scatan	Scarlet Tanager	0.11516233765800811	1
5	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	cerwar	Cerulean Warbler	0.27545008621179085	1
6	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	btbwar	Black-throated Blue Warbler	0.16481568760920612	2
7	Spectrogram 1	1	sgl6_20170531_093003.wav	18.0	21.0	150	15000	kenwar	Kentucky Warbler	0.15940184237873462	3
8	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	yetvir	Yellow-throated Vireo	0.23534178501178413	1
9	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	cerwar	Cerulean Warbler	0.16887202719510433	2
10	Spectrogram 1	1	sgl6_20170531_093003.wav	21.0	24.0	150	15000	btbwar	Black-throated Blue Warbler	0.16270798224021096	3
11	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	cerwar	Cerulean Warbler	0.27957867669064174	1
12	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	btbwar	Black-throated Blue Warbler	0.2021446314230197	2
13	Spectrogram 1	1	sgl6_20170531_093003.wav	24.0	27.0	150	15000	hoowar	Hooded Warbler	0.14750607903181875	3
14	Spectrogram 1	1	sgl6_20170531_093003.wav	27.0	30.0	150	15000	yetvir	Yellow-throated Vireo	0.44165673214628826	1
15	Spectrogram 1	1	sgl6_20170531_093003.wav	27.0	30.0	150	15000	buhvir	Blue-headed Vireo	0.3694734061662585	2
16	Spectrogram 1	1	sgl6_20170531_093003.wav	27.0	30.0	150	15000	cerwar	Cerulean Warbler	0.10159631593644523	3
17	Spectrogram 1	1	sgl6_20170531_093003.wav	3.0	6.0	150	15000	cerwar	Cerulean Warbler	0.2723038678479909	1
18	Spectrogram 1	1	sgl6_20170531_093003.wav	3.0	6.0	150	15000	amered	American Redstart	0.14734622589738552	2
19	Spectrogram 1	1	sgl6_20170531_093003.wav	3.0	6.0	150	15000	btbwar	Black-throated Blue Warbler	0.13399356480644456	3
20	Spectrogram 1	1	sgl6_20170531_093003.wav	30.0	33.0	150	15000	cerwar	Cerulean Warbler	0.134390833112492	1
21	Spectrogram 1	1	sgl6_20170531_093003.wav	30.0	33.0	150	15000	btbwar	Black-throated Blue Warbler	0.13237145009379828	2
22	Spectrogram 1	1	sgl6_20170531_093003.wav	30.0	33.0	150	15000	kenwar	Kentucky Warbler	0.10250835187116351	3
23	Spectrogram 1	1	sgl6_20170531_093003.wav	36.0	39.0	150	15000	cerwar	Cerulean Warbler	0.1457564412597517	1
24	Spectrogram 1	1	sgl6_20170531_093003.wav	36.0	39.0	150	15000	btbwar	Black-throated Blue Warbler	0.10922345838569873	2
25	Spectrogram 1	1	sgl6_20170531_093003.wav	36.0	39.0	150	15000	hoowar	Hooded Warbler	0.10619988834582189	3
26	Spectrogram 1	1	sgl6_20170531_093003.wav	42.0	45.0	150	15000	cerwar	Cerulean Warbler	0.1779665447188904	1
27	Spectrogram 1	1	sgl6_20170531_093003.wav	42.0	45.0	150	15000	amered	American Redstart	0.14277553450673006	2
28	Spectrogram 1	1	sgl6_20170531_093003.wav	42.0	45.0	150	15000	btbwar	Black-throated Blue Warbler	0.12540141485399653	3
29	Spectrogram 1	1	sgl6_20170531_093003.wav	45.0	48.0	150	15000	bawwar	Black-and-white Warbler	0.9495567884360901	1
30	Spectrogram 1	1	sgl6_20170531_093003.wav	48.0	51.0	150	15000	cerwar	Cerulean Warbler	0.17711669627329457	1
31	Spectrogram 1	1	sgl6_20170531_093003.wav	48.0	51.0	150	15000	kenwar	Kentucky Warbler	0.16480232102478456	2
32	Spectrogram 1	1	sgl6_20170531_093003.wav	48.0	51.0	150	15000	btbwar	Black-throated Blue Warbler	0.14250605737251965	3
33	Spectrogram 1	1	sgl6_20170531_093003.wav	51.0	54.0	150	15000	cerwar	Cerulean Warbler	0.16955539697075475	1
34	Spectrogram 1	1	sgl6_20170531_093003.wav	51.0	54.0	150	15000	btbwar	Black-throated Blue Warbler	0.13725885559962617	2
35	Spectrogram 1	1	sgl6_20170531_093003.wav	51.0	54.0	150	15000	kenwar	Kentucky Warbler	0.13206083671931837	3
36	Spectrogram 1	1	sgl6_20170531_093003.wav	57.0	60.0	150	15000	bawwar	Black-and-white Warbler	0.9765876864079246	1
37	Spectrogram 1	1	sgl6_20170531_093003.wav	6.0	9.0	150	15000	cerwar	Cerulean Warbler	0.38737540310977153	1
38	Spectrogram 1	1	sgl6_20170531_093003.wav	6.0	9.0	150	15000	btbwar	Black-throated Blue Warbler	0.2367747921598488	2
39	Spectrogram 1	1	sgl6_20170531_093003.wav	6.0	9.0	150	15000	kenwar	Kentucky Warbler	0.209094475205271	3
40	Spectrogram 1	1	sgl6_20170531_093003.wav	9.0	12.0	150	15000	cerwar	Cerulean Warbler	0.2338644178958216	1
41	Spectrogram 1	1	sgl6_20170531_093003.wav	9.0	12.0	150	15000	kenwar	Kentucky Warbler	0.1933701541331973	2
42	Spectrogram 1	1	sgl6_20170531_093003.wav	9.0	12.0	150	15000	btbwar	Black-throated Blue Warbler	0.19066863967678896	3
43	Spectrogram 1	1	sgl6_20170531_093003.wav	60.0	63.0	150	15000	hoowar	Hooded Warbler	0.23935509843691166	1
44	Spectrogram 1	1	sgl6_20170531_093003.wav	60.0	63.0	150	15000	kenwar	Kentucky Warbler	0.11679280253363009	2
45	Spectrogram 1	1	sgl6_20170531_093003.wav	60.0	63.0	150	15000	cerwar	Cerulean Warbler	0.10562113582755721	3
46	Spectrogram 1	1	sgl6_20170531_093003.wav	72.0	75.0	150	15000	cerwar	Cerulean Warbler	0.22754123045261695	1
47	Spectrogram 1	1	sgl6_20170531_093003.wav	72.0	75.0	150	15000	kenwar	Kentucky Warbler	0.1546533843135231	2
48	Spectrogram 1	1	sgl6_20170531_093003.wav	72.0	75.0	150	15000	btbwar	Black-throated Blue Warbler	0.15212843252772756	3
49	Spectrogram 1	1	sgl6_20170531_093003.wav	75.0	78.0	150	15000	kenwar	Kentucky Warbler	0.2957216870877456	1
50	Spectrogram 1	1	sgl6_20170531_093003.wav	75.0	78.0	150	15000	woewar1	Worm-eating Warbler	0.10374862152463905	2
51	Spectrogram 1	1	sgl6_20170531_093003.wav	78.0	81.0	150	15000	bawwar	Black-and-white Warbler	0.3131703798325387	1
52	Spectrogram 1	1	sgl6_20170531_093003.wav	78.0	81.0	150	15000	louwat	Louisiana Waterthrush	0.2895466985009632	2
53	Spectrogram 1	1	sgl6_20170531_093003.wav	81.0	84.0	150	15000	bawwar	Black-and-white Warbler	0.9866960470723701	1
54	Spectrogram 1	1	sgl6_20170531_093003.wav	84.0	87.0	150	15000	cerwar	Cerulean Warbler	0.23007127875281197	1
55	Spectrogram 1	1	sgl6_20170531_093003.wav	84.0	87.0	150	15000	kenwar	Kentucky Warbler	0.18224408754888002	2
56	Spectrogram 1	1	sgl6_20170531_093003.wav	84.0	87.0	150	15000	btbwar	Black-throated Blue Warbler	0.17783709144651894	3
57	Spectrogram 1	1	sgl6_20170531_093003.wav	87.0	90.0	150	15000	cerwar	Cerulean Warbler	0.24511899290294317	1
58	Spectrogram 1	1	sgl6_20170531_093003.wav	87.0	90.0	150	15000	btbwar	Black-throated Blue Warbler	0.1645965199974282	2
59	Spectrogram 1	1	sgl6_20170531_093003.wav	87.0	90.0	150	15000	kenwar	Kentucky Warbler	0.15917825699894328	3
60	Spectrogram 1	1	sgl6_20170531_093003.wav	90.0	93.0	150	15000	bawwar	Black-and-white Warbler	0.3748726071881954	1
61	Spectrogram 1	1	sgl6_20170531_093003.wav	90.0	93.0	150	15000	yetwar	Yellow-throated Warbler	0.3077361938384439	2
62	Spectrogram 1	1	sgl6_20170531_093003.wav	90.0	93.0	150	15000	louwat	Louisiana Waterthrush	0.27443792370850856	3
63	Spectrogram 1	1	sgl6_20170531_093003.wav	93.0	96.0	150	15000	bawwar	Black-and-white Warbler	0.9807446756441236	1
64	Spectrogram 1	1	sgl6_20170531_093003.wav	96.0	99.0	150	15000	cerwar	Cerulean Warbler	0.25961000167707005	1
65	Spectrogram 1	1	sgl6_20170531_093003.wav	96.0	99.0	150	15000	btbwar	Black-throated Blue Warbler	0.20949074227767353	2
66	Spectrogram 1	1	sgl6_20170531_093003.wav	96.0	99.0	150	15000	hoowar	Hooded Warbler	0.18168098915943615	3
67	Spectrogram 1	1	sgl6_20170531_093003.wav	99.0	102.0	150	15000	cedwax	Cedar Waxwing	0.1594581507043448	1
68	Spectrogram 1	1	sgl6_20170531_093003.wav	99.0	102.0	150	15000	kenwar	Kentucky Warbler	0.10095388953227571	2
69	Spectrogram 1	1	sgl6_20170531_093003.wav	102.0	105.0	150	15000	bawwar	Black-and-white Warbler	0.9945501137825926	1
70	Spectrogram 1	1	sgl6_20170531_093003.wav	105.0	108.0	150	15000	bawwar	Black-and-white Warbler	0.4678594433625224	1
71	Spectrogram 1	1	sgl6_20170531_093003.wav	105.0	108.0	150	15000	brncre	Brown Creeper	0.24356557426144745	2
72	Spectrogram 1	1	sgl6_20170531_093003.wav	105.0	108.0	150	15000	bkbwar	Blackburnian Warbler	0.11781593598433833	3
73	Spectrogram 1	1	sgl6_20170531_093003.wav	108.0	111.0	150	15000	amered	American Redstart	0.1667408088508437	1
74	Spectrogram 1	1	sgl6_20170531_093003.wav	108.0	111.0	150	15000	bkbwar	Blackburnian Warbler	0.1659896912517241	2
75	Spectrogram 1	1	sgl6_20170531_093003.wav	108.0	111.0	150	15000	cerwar	Cerulean Warbler	0.15658169180145765	3
76	Spectrogram 1	1	sgl6_20170531_093003.wav	114.0	117.0	150	15000	bawwar	Black-and-white Warbler	0.9891861859109519	1
77	Spectrogram 1	1	sgl6_20170531_093003.wav	66.0	69.0	150	15000	brncre	Brown Creeper	0.1458915882092337	1
78	Spectrogram 1	1	sgl6_20170531_093003.wav	69.0	72.0	150	15000	bawwar	Black-and-white Warbler	0.9839559826811115	1
79	Spectrogram 1	1	sgl6_20170531_093003.wav	600.0	603.0	150	15000	bawwar	Black-and-white Warbler	0.9693670572515325	1
80	Spectrogram 1	1	sgl6_20170531_093003.wav	612.0	615.0	150	15000	bawwar	Black-and-white Warbler	0.9914275200561462	1
81	Spectrogram 1	1	sgl6_20170531_093003.wav	615.0	618.0	150	15000	veery	Veery	0.8081628197704833	1
82	Spectrogram 1	1	sgl6_20170531_093003.wav	618.0	621.0	150	15000	veery	Veery	0.9841220787824921	1
83	Spectrogram 1	1	sgl6_20170531_093003.wav	621.0	624.0	150	15000	bkbwar	Blackburnian Warbler	0.2927401840942758	1
84	Spectrogram 1	1	sgl6_20170531_093003.wav	621.0	624.0	150	15000	bawwar	Black-and-white Warbler	0.23697585029250018	2
85	Spectrogram 1	1	sgl6_20170531_093003.wav	621.0	624.0	150	15000	camwar	Cape May Warbler	0.21665338704231538	3
86	Spectrogram 1	1	sgl6_20170531_093003.wav	624.0	627.0	150	15000	bawwar	Black-and-white Warbler	0.9918877181702771	1
87	Spectrogram 1	1	sgl6_20170531_093003.wav	627.0	630.0	150	15000	veery	Veery	0.8115774462414178	1
88	Spectrogram 1	1	sgl6_20170531_093003.wav	627.0	630.0	150	15000	scatan	Scarlet Tanager	0.19768945833801221	2
89	Spectrogram 1	1	sgl6_20170531_093003.wav	603.0	606.0	150	15000	veery	Veery	0.9676049281215848	1
90	Spectrogram 1	1	sgl6_20170531_093003.wav	630.0	633.0	150	15000	veery	Veery	0.8129046055722681	1
91	Spectrogram 1	1	sgl6_20170531_093003.wav	630.0	633.0	150	15000	scatan	Scarlet Tanager	0.15281498764196078	2
92	Spectrogram 1	1	sgl6_20170531_093003.wav	630.0	633.0	150	15000	robgro	Rose-breasted Grosbeak	0.14168771646200465	3
93	Spectrogram 1	1	sgl6_20170531_093003.wav	633.0	636.0	150	15000	bawwar	Black-and-white Warbler	0.9900457810568831	1
