Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
29	Spectrogram 1	1	sgl6_20170531_093003.wav	45	48	150	15000	bawwar	Black-and-white Warbler	0.94955678843609	1
36	Spectrogram 1	1	sgl6_20170531_093003.wav	57	60	150	15000	bawwar	Black-and-white Warbler	0.976587686407925	1
51	Spectrogram 1	1	sgl6_20170531_093003.wav	78	81	150	15000	bawwar	Black-and-white Warbler	0.313170379832539	1
53	Spectrogram 1	1	sgl6_20170531_093003.wav	81	84	150	15000	bawwar	Black-and-white Warbler	0.98669604707237	1
60	Spectrogram 1	1	sgl6_20170531_093003.wav	90	93	150	15000	bawwar	Black-and-white Warbler	0.374872607188195	1
63	Spectrogram 1	1	sgl6_20170531_093003.wav	93	96	150	15000	bawwar	Black-and-white Warbler	0.980744675644124	1
69	Spectrogram 1	1	sgl6_20170531_093003.wav	102	105	150	15000	bawwar	Black-and-white Warbler	0.994550113782593	1
70	Spectrogram 1	1	sgl6_20170531_093003.wav	105	108	150	15000	bawwar	Black-and-white Warbler	0.467859443362522	1
76	Spectrogram 1	1	sgl6_20170531_093003.wav	114	117	150	15000	bawwar	Black-and-white Warbler	0.989186185910952	1
78	Spectrogram 1	1	sgl6_20170531_093003.wav	69	72	150	15000	bawwar	Black-and-white Warbler	0.983955982681112	1
79	Spectrogram 1	1	sgl6_20170531_093003.wav	600	603	150	15000	bawwar	Black-and-white Warbler	0.969367057251532	1
80	Spectrogram 1	1	sgl6_20170531_093003.wav	612	615	150	15000	bawwar	Black-and-white Warbler	0.991427520056146	1
84	Spectrogram 1	1	sgl6_20170531_093003.wav	621	624	150	15000	bawwar	Black-and-white Warbler	0.2369758502925	2
86	Spectrogram 1	1	sgl6_20170531_093003.wav	624	627	150	15000	bawwar	Black-and-white Warbler	0.991887718170277	1
93	Spectrogram 1	1	sgl6_20170531_093003.wav	633	636	150	15000	bawwar	Black-and-white Warbler	0.990045781056883	1
97	Spectrogram 1	1	sgl6_20170531_093003.wav	645	648	150	15000	bawwar	Black-and-white Warbler	0.973347781358664	1
101	Spectrogram 1	1	sgl6_20170531_093003.wav	657	660	150	15000	bawwar	Black-and-white Warbler	0.991138744511321	1
109	Spectrogram 1	1	sgl6_20170531_093003.wav	681	684	150	15000	bawwar	Black-and-white Warbler	0.988779742785306	1
116	Spectrogram 1	1	sgl6_20170531_093003.wav	690	693	150	15000	bawwar	Black-and-white Warbler	0.710496335770997	1
118	Spectrogram 1	1	sgl6_20170531_093003.wav	693	696	150	15000	bawwar	Black-and-white Warbler	0.985840251816602	1
121	Spectrogram 1	1	sgl6_20170531_093003.wav	702	705	150	15000	bawwar	Black-and-white Warbler	0.987985907612731	1
128	Spectrogram 1	1	sgl6_20170531_093003.wav	714	717	150	15000	bawwar	Black-and-white Warbler	0.950255823286581	1
131	Spectrogram 1	1	sgl6_20170531_093003.wav	669	672	150	15000	bawwar	Black-and-white Warbler	0.990049547985238	1
139	Spectrogram 1	1	sgl6_20170531_093003.wav	738	741	150	15000	bawwar	Black-and-white Warbler	0.989562752141001	1
146	Spectrogram 1	1	sgl6_20170531_093003.wav	750	753	150	15000	bawwar	Black-and-white Warbler	0.975391765986985	1
152	Spectrogram 1	1	sgl6_20170531_093003.wav	759	762	150	15000	bawwar	Black-and-white Warbler	0.901505364037228	1
154	Spectrogram 1	1	sgl6_20170531_093003.wav	762	765	150	15000	bawwar	Black-and-white Warbler	0.632356892376433	1
161	Spectrogram 1	1	sgl6_20170531_093003.wav	771	774	150	15000	bawwar	Black-and-white Warbler	0.99106785749379	1
166	Spectrogram 1	1	sgl6_20170531_093003.wav	726	729	150	15000	bawwar	Black-and-white Warbler	0.993803823312065	1
340	Spectrogram 1	1	sgl6_20170531_093003.wav	1038	1041	150	15000	bawwar	Black-and-white Warbler	0.265618167485962	2
341	Spectrogram 1	1	sgl6_20170531_093003.wav	1041	1044	150	15000	bawwar	Black-and-white Warbler	0.987901885831151	1
346	Spectrogram 1	1	sgl6_20170531_093003.wav	1050	1053	150	15000	bawwar	Black-and-white Warbler	0.561069587374318	1
349	Spectrogram 1	1	sgl6_20170531_093003.wav	1053	1056	150	15000	bawwar	Black-and-white Warbler	0.988807348165692	1
352	Spectrogram 1	1	sgl6_20170531_093003.wav	1062	1065	150	15000	bawwar	Black-and-white Warbler	0.91551386020085	1
353	Spectrogram 1	1	sgl6_20170531_093003.wav	1065	1068	150	15000	bawwar	Black-and-white Warbler	0.970844555491621	1
354	Spectrogram 1	1	sgl6_20170531_093003.wav	1074	1077	150	15000	bawwar	Black-and-white Warbler	0.995695646831017	1
359	Spectrogram 1	1	sgl6_20170531_093003.wav	1029	1032	150	15000	bawwar	Black-and-white Warbler	0.959617270629487	1
363	Spectrogram 1	1	sgl6_20170531_093003.wav	1098	1101	150	15000	bawwar	Black-and-white Warbler	0.990930451006869	1
369	Spectrogram 1	1	sgl6_20170531_093003.wav	1107	1110	150	15000	bawwar	Black-and-white Warbler	0.944073453252702	1
374	Spectrogram 1	1	sgl6_20170531_093003.wav	1110	1113	150	15000	bawwar	Black-and-white Warbler	0.988791131206136	1
379	Spectrogram 1	1	sgl6_20170531_093003.wav	1119	1122	150	15000	bawwar	Black-and-white Warbler	0.990042788603177	1
380	Spectrogram 1	1	sgl6_20170531_093003.wav	1122	1125	150	15000	bawwar	Black-and-white Warbler	0.968702490871374	1
385	Spectrogram 1	1	sgl6_20170531_093003.wav	1131	1134	150	15000	bawwar	Black-and-white Warbler	0.988660935321182	1
392	Spectrogram 1	1	sgl6_20170531_093003.wav	1086	1089	150	15000	bawwar	Black-and-white Warbler	0.992420064502256	1
